2026-01-20 13:08:56.086 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:118 - Found chapter 19: '4.5 Microsoft Research Sentence Completion Challenge' (page 9)
2026-01-20 13:08:56.086 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:118 - Found chapter 20: '5 Examples of the Learned Relationships' (page 9)
2026-01-20 13:08:56.086 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:118 - Found chapter 21: '6 Conclusion' (page 10)
2026-01-20 13:08:56.086 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:118 - Found chapter 22: '7 Follow-Up Work' (page 11)
2026-01-20 13:08:56.086 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:118 - Found chapter 23: 'References' (page 11)
2026-01-20 13:08:56.086 | INFO     | src.ingestion.parsers.parsers:parse:57 - Structure extracted: 23 chapters
2026-01-20 13:08:56.086 | SUCCESS  | src.ingestion.parsers.parsers:parse:59 - Successfully parsed Word2Vec.pdf
2026-01-20 23:24:19.697 | INFO     | src.ingestion.parsers.parsers:parse:19 - Starting to parse PDF: data/Word2Vec.pdf
2026-01-20 23:24:19.697 | DEBUG    | src.ingestion.parsers.parsers:parse:29 - Initializing DocumentConverter with pipeline options
2026-01-20 23:24:19.701 | DEBUG    | src.ingestion.parsers.parsers:parse:36 - Converting document...
2026-01-20 23:24:31.045 | INFO     | src.ingestion.parsers.parsers:parse:39 - Document converted successfully: 12 pages
2026-01-20 23:24:31.046 | DEBUG    | src.ingestion.parsers.parsers:parse:41 - Extracting metadata...
2026-01-20 23:24:31.046 | DEBUG    | src.ingestion.parsers.parsers:parse:43 - Metadata extracted: title='Word2Vec', pages=12
2026-01-20 23:24:31.046 | DEBUG    | src.ingestion.parsers.parsers:parse:47 - Exporting to markdown...
2026-01-20 23:24:31.070 | DEBUG    | src.ingestion.parsers.parsers:parse:49 - Markdown exported: 45577 characters
2026-01-20 23:24:31.070 | DEBUG    | src.ingestion.parsers.parsers:parse:51 - Building page map...
2026-01-20 23:24:31.070 | DEBUG    | src.ingestion.parsers.parsers:parse:53 - Page map built: 12 pages
2026-01-20 23:24:31.071 | DEBUG    | src.ingestion.parsers.parsers:parse:55 - Extracting document structure...
2026-01-20 23:24:31.071 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 1: 'Efficient Estimation of Word Representations in Vector Space' (page 1)
